iter	Passed	Remaining
0	1	120
1	2	110
2	3	103
3	3	94
4	4	93
5	6	95
6	7	94
7	8	92
8	9	91
9	10	90
10	11	89
11	12	88
12	13	87
13	13	85
14	14	84
15	15	83
16	16	82
17	17	80
18	18	78
19	19	77
20	20	75
21	21	74
22	22	73
23	23	73
24	24	72
25	25	71
26	25	70
27	26	68
28	27	67
29	28	66
30	29	64
31	29	63
32	30	62
33	31	60
34	32	59
35	32	58
36	33	57
37	34	56
38	35	54
39	35	53
40	36	52
41	36	50
42	37	49
43	38	48
44	38	47
45	39	46
46	39	45
47	40	44
48	41	43
49	42	42
50	42	41
51	43	40
52	44	39
53	44	38
54	45	37
55	46	36
56	46	35
57	47	34
58	47	33
59	48	32
60	49	31
61	49	30
62	50	29
63	51	28
64	51	27
65	52	26
66	52	26
67	53	25
68	54	24
69	54	23
70	55	22
71	55	21
72	56	20
73	57	20
74	57	19
75	58	18
76	58	17
77	59	16
78	59	15
79	60	15
80	61	14
81	61	13
82	62	12
83	62	11
84	63	11
85	63	10
86	64	9
87	65	8
88	65	8
89	66	7
90	67	6
91	67	5
92	68	5
93	68	4
94	69	3
95	70	2
96	70	2
97	71	1
98	71	0
99	72	0
