iter	Passed	Remaining
0	162	162775
1	164	82140
2	165	54944
3	167	41797
4	168	33555
5	169	28047
6	170	24116
7	170	21173
8	171	18883
9	172	17048
10	172	15549
11	173	14304
12	174	13254
13	175	12356
14	176	11573
15	177	10911
16	178	10311
17	179	9768
18	179	9281
19	180	8845
20	181	8448
21	181	8087
22	182	7759
23	183	7453
24	183	7175
25	184	6920
26	185	6682
27	186	6462
28	186	6257
29	187	6063
30	188	5884
31	189	5719
32	189	5566
33	190	5416
34	191	5280
35	192	5149
36	192	5020
37	193	4899
38	194	4783
39	194	4676
40	195	4574
41	196	4492
42	197	4399
43	198	4310
44	199	4224
45	199	4143
46	200	4063
47	201	3990
48	201	3919
49	202	3850
50	203	3784
51	204	3722
52	204	3662
53	205	3603
54	206	3548
55	207	3492
56	207	3437
57	208	3386
58	209	3336
59	209	3287
60	210	3241
61	211	3195
62	211	3151
63	212	3109
64	213	3068
65	213	3028
66	214	2989
67	215	2954
68	216	2916
69	216	2882
70	217	2848
71	218	2817
72	219	2785
73	220	2756
74	220	2725
75	221	2694
76	222	2665
77	222	2635
78	223	2605
79	224	2576
80	224	2550
81	225	2523
82	225	2494
83	226	2468
84	227	2443
85	227	2419
86	228	2395
87	228	2372
88	229	2350
89	230	2327
90	230	2306
91	231	2284
92	232	2263
93	232	2243
94	233	2224
95	234	2206
96	235	2190
97	235	2171
98	236	2152
99	237	2134
100	237	2115
101	238	2097
102	238	2079
103	239	2062
104	239	2045
105	240	2027
106	241	2011
107	241	1996
108	242	1980
109	242	1964
110	243	1948
111	243	1933
112	244	1918
113	244	1903
114	245	1888
115	245	1874
116	246	1859
117	246	1845
118	247	1831
119	248	1820
120	249	1809
121	249	1796
122	250	1783
123	251	1774
124	251	1762
125	252	1749
126	252	1736
127	253	1724
128	253	1713
129	254	1701
130	254	1689
131	255	1678
132	255	1667
133	256	1656
134	256	1646
135	257	1635
136	258	1625
137	258	1615
138	259	1605
139	259	1595
140	260	1586
141	260	1575
